CODE_STATION,temp_moy_annuelle,cumul_pluv_annuel,precip_hiver,precip_ete,temp_min_hiver,temp_max_hiver,temp_min_ete,temp_max_ete,frequence_mois_secs,frequence_mois_tres_secs,X,Y
81,15.130886913590055,619.6,112.0,75.15,2.8307295142751205,12.915616690502674,15.58842652329749,30.228369175627236,0.5,0.3333333333333333,742720,6272804
82,10.37997251465473,1419.21,274.31,151.91000000000003,0.37193164362519204,5.548303670745272,13.591193548387094,22.79850537634409,0.16666666666666666,0.11666666666666667,719568,6295735
83,15.53385622252238,528.17,104.0,60.92,3.794368213358758,12.643298771121351,17.63510394265233,28.971616487455197,0.5333333333333333,0.43333333333333335,728702,6246970
84,15.600155272834012,648.1800000000001,119.97999999999999,87.17999999999999,3.0304683775623706,12.611662693998623,16.73936917562724,31.15351612903226,0.48333333333333334,0.3333333333333333,742043,6275773
86,15.326926666754948,606.2,100.05,78.65,3.479875258223423,12.611219079400392,16.47383697935978,29.835356569027315,0.44166666666666665,0.3333333333333333,722006,6265213
87,14.789030703206384,832.05,160.92000000000002,116.25999999999999,1.4083718682133586,12.773816409767466,15.402802867383512,30.770555555555557,0.35,0.24166666666666667,769044,6291404
88,15.231603578491093,659.14,118.99000000000001,77.89,2.990298744636898,12.733515546374276,16.06094982078853,30.395014336917562,0.44166666666666665,0.2916666666666667,698120,6260210
89,15.219399896873758,569.75,91.4,84.05,3.0155469922488836,12.753347679079047,15.94178494623656,29.997605734767024,0.44166666666666665,0.3416666666666667,705893,6252949
91,16.713830349418224,770.9,142.04,103.55,4.632794904391122,14.161066528947508,17.897670250896056,31.64533333333333,0.35833333333333334,0.25833333333333336,702296,6266955
92,15.866980844580482,698.53,128.95,93.1,3.9371658871025317,13.023239871999484,16.903758236174625,30.85271262994548,0.36666666666666664,0.26666666666666666,701935,6265850
94,15.536302685302894,679.7900000000001,121.55,94.47,3.6534974045235447,12.49268393453043,16.842652329749104,30.479172043010752,0.4,0.26666666666666666,740965,6285147
96,15.350109590265884,620.67,121.74000000000001,84.07000000000001,2.820192541977859,12.574907039567773,16.426659498207883,30.53091039426523,0.4583333333333333,0.38333333333333336,787934,6293152
101,15.214123004837825,1292.75,248.3,159.55,2.7509421844377346,12.736006011970971,15.508985663082436,31.312465949820787,0.20833333333333334,0.15,749817,6303792
103,15.129828452469235,784.9,163.0,96.27000000000001,3.912517479739393,11.603780390910536,16.826863799283153,29.22017921146953,0.35,0.25,688456,6254067
104,14.14355727814856,1024.97,204.47,135.57999999999998,1.1653785069830676,11.918617352614014,14.96084946236559,29.776910394265233,0.25,0.175,758720,6298102
113,15.436903069106767,606.9,101.2,78.05,3.6139084432438158,12.657620769108531,16.77179211469534,29.674175627240142,0.45,0.3416666666666667,724638,6257177
114,16.227482238863285,483.71000000000004,105.92999999999999,66.47,6.365032046188887,11.792782853964722,19.964569892473115,27.72440860215054,0.575,0.4166666666666667,755907,6255534
115,15.588151045498329,678.4222222222222,146.56666666666666,93.44444444444444,3.696600131833725,12.833677925502174,16.29990442054958,30.414070091596972,0.4074074074074074,0.23148148148148148,673653,6247609
116,15.356868779463955,970.89,174.91,128.43,4.669927432597065,11.226194846125322,17.69956630824373,29.33278853046595,0.30833333333333335,0.25,728015,6289836
117,11.976364142477532,1363.6799999999998,267.31,166.48999999999998,0.6729250754806928,8.584081254303724,13.139817204301075,26.843426523297488,0.15833333333333333,0.125,737273,6299970
121,14.784411214179775,962.15,188.65,136.1,1.2465533132051485,12.593048228190051,15.601164874551971,30.811071684587812,0.26666666666666666,0.2,767999,6299147
123,15.419729442546393,727.2,151.37,98.9,2.0126120292388365,13.398098681074208,15.898960573476701,31.203362007168455,0.35,0.2916666666666667,788384,6291971
126,15.690340202738492,568.1899999999999,121.3,90.03,4.286671036601515,12.58876026272578,18.107344086021506,28.60894982078853,0.4666666666666667,0.325,770180,6270540
127,15.135414108709853,703.99,135.28,85.35,3.8198642671751686,11.747079426876422,16.98573835125448,29.04111111111111,0.375,0.2833333333333333,690341,6251687
128,15.498000931369953,552.05,108.4,66.85,3.5342443985380583,12.895372371417977,16.763860215053764,29.78407168458781,0.49166666666666664,0.36666666666666664,747210,6264691
130,15.273003497051397,752.72,149.64000000000001,107.59,2.403027835160761,12.82058795487049,16.34545878136201,30.47883154121864,0.39166666666666666,0.25833333333333336,780051,6292699
137,16.035861894571877,699.1899999999999,145.78,104.3,4.005499405794798,13.138961031940251,18.196080669880114,29.89080132245705,0.425,0.3,769171,6280209
138,12.2474622146347,1364.84,383.28,156.18,1.874889824672917,8.31873060013772,13.61220430107527,25.76140860215054,0.14166666666666666,0.09166666666666666,672211,6264421
151,15.474613658029245,579.12,109.67,78.74,3.7279534138460724,12.67093053127814,17.116652329749105,29.47146953405018,0.5,0.36666666666666664,732426,6259922
152,14.645045322624785,591.96,104.85,79.0,2.9193249112770805,11.92463623602945,15.955483870967742,28.769444444444446,0.4083333333333333,0.3,725946,6265918
156,13.207169445327258,1611.6100000000001,348.39,180.27,1.2547870649928494,10.984543408019492,13.143530465949821,28.657749103942653,0.175,0.11666666666666667,747802,6324373
159,14.675482772966436,1082.1100000000001,193.63000000000002,146.17000000000002,0.5808878913078022,12.93955135335558,15.039512544802868,31.318304659498207,0.25833333333333336,0.19166666666666668,772811,6316569
161,15.850189665104082,639.33,128.45,102.08,3.019078473436093,13.134471105461094,17.36547670250896,30.96983154121864,0.4166666666666667,0.2833333333333333,794374,6291312
163,13.67260847921853,1606.67,338.09000000000003,171.60999999999999,2.472720615498702,9.916720694952064,15.037189964157706,28.830017921146954,0.18333333333333332,0.125,750103,6324754
173,14.504788755583807,840.6299999999999,161.34,128.15,0.6942992213570633,12.729702579585783,14.665824372759856,30.770071684587815,0.25833333333333336,0.18333333333333332,786029,6308565
175,15.08857575546904,750.21,149.53,122.52000000000001,2.095093754965835,12.635533794162827,15.986899641577061,30.670240143369178,0.3416666666666667,0.24166666666666667,787656,6300160
177,16.459135917112487,534.7,134.48,74.61,4.784757667249324,12.715999920546638,19.43272401433692,29.553082437275982,0.475,0.375,797170,6291189
178,12.301910130524215,1528.68,300.15,179.23000000000002,0.822531913766619,9.354182822183379,13.349702508960574,27.020903225806453,0.15833333333333333,0.125,766271,6325642
179,14.202038073609122,1308.35,253.19,182.07,2.9797380687536417,10.578032469940146,16.077390681003585,28.759731182795697,0.24166666666666667,0.15833333333333333,758781,6326493
202,16.035861894571877,699.1899999999999,145.78,104.3,4.005499405794798,13.138961031940251,18.196080669880114,29.89080132245705,0.425,0.3,768011,6282019
203,16.13427768287515,585.39,106.03,75.49,3.854064569097939,13.080167646591452,17.11138709677419,31.56054121863799,0.4583333333333333,0.35,692829,6245449
217,14.156270773743312,778.05,198.91,108.17,3.7588899041262778,10.083426823454632,16.58132258064516,27.195010752688173,0.275,0.175,657887,6248492
236,15.46497863146,574.23,120.85,66.38,4.22544930875576,11.71045142751205,17.73579569892473,29.19195340501792,0.4583333333333333,0.35833333333333334,677935,6230456
244,15.616182987711213,558.77,102.46,75.58,4.989664574394831,11.577347714391653,18.03332974910394,28.78953046594982,0.475,0.35,696405,6227899
255,11.016547587632056,1139.83,225.06,147.09,0.8885465331850203,6.455670922514638,14.224189964157706,23.59316487455197,0.15,0.1,695059,6294499
261,10.149522472058901,964.8399999999999,205.45,160.78,-0.6776406324487526,6.134616107844695,12.265544802867383,23.859394265232975,0.11666666666666667,0.06666666666666667,714587,6320905
263,10.099437860850681,1030.05,205.36999999999998,157.64000000000001,-1.1851261984215264,6.877586074474283,11.144333333333332,24.686476702508962,0.13333333333333333,0.075,715434,6313722
267,10.933170633817117,1237.06,284.35,181.47,0.681747311827957,6.7791087981354945,13.421888888888889,23.807641577060927,0.10833333333333334,0.06666666666666667,689301,6295877
295,13.104501712661335,1307.06,246.67,150.75,1.824018750993167,9.444426914258473,15.01363082437276,26.906369175627237,0.20869565217391303,0.17391304347826086,746562,6316615
312,15.76973516649893,679.71,138.09,88.85,2.727936198951215,13.001898538058159,17.033770609318996,31.315942652329745,0.4083333333333333,0.275,801464,6295010
417,10.212322596094426,1530.75,473.48999999999995,218.34,-0.6972650828963399,6.423827930504794,12.290508960573476,23.6887311827957,0.09166666666666666,0.05,676151,6289967
424,9.186585740409017,1393.69,275.15999999999997,172.55,-0.5007442733388229,4.863473207363641,12.373695340501792,20.943293906810034,0.11666666666666667,0.09166666666666666,685914,6281603
