CODE_STATION,ANNEE,MOIS,TEMP_MAX_MOY,TEMP_MIN_MOY,CUMUL_PRECIP,TEMP_MAX_MAX,TEMP_MIN_MIN
54,2006,10,23.23548387096774193548387096774193548387,14.53870967741935483870967741935483870968,36.1,27.5,7.5
54,2006,11,18.92333333333333333333333333333333333333,9.96666666666666666666666666666666666667,4.5,23,-1.7
54,2006,12,12.92258064516129032258064516129032258065,3.25483870967741935483870967741935483871,15.8,19.7,-4.5
54,2007,1,14.95483870967741935483870967741935483871,4.93548387096774193548387096774193548387,3.2,21.4,-5.6
54,2007,2,15.12142857142857142857142857142857142857,5.73214285714285714285714285714285714286,123.3,22,-1
54,2007,3,16.60967741935483870967741935483870967742,6.4483870967741935483870967741935483871,24.2,22.5,1
54,2007,4,21.23,11.1,91.1,27.2,5.5
54,2007,5,23.01612903225806451612903225806451612903,13.02258064516129032258064516129032258065,88.3,32,9
54,2007,6,26.93333333333333333333333333333333333333,15.88666666666666666666666666666666666667,20.5,31.5,12
54,2007,7,29.28709677419354838709677419354838709677,17.10322580645161290322580645161290322581,4.3,35.3,13.5
54,2007,8,28.59032258064516129032258064516129032258,16.44516129032258064516129032258064516129,7.4,35,13
54,2007,9,26.48,13.03666666666666666666666666666666666667,21.1,33.5,7
54,2007,10,21.10322580645161290322580645161290322581,10.77741935483870967741935483870967741935,115.5,28,1.5
54,2007,11,14.89333333333333333333333333333333333333,6.01,7.5,20,-3.5
54,2007,12,13.10645161290322580645161290322580645161,3.34516129032258064516129032258064516129,24.8,18.6,-5
54,2008,1,14.46774193548387096774193548387096774194,5.15483870967741935483870967741935483871,87.3,19,-2
54,2008,2,15.8241379310344827586206896551724137931,5.44482758620689655172413793103448275862,33.2,22.5,-2.1
54,2008,3,16.1516129032258064516129032258064516129,6.3516129032258064516129032258064516129,10.2,22.8,0.9
54,2008,4,19.39333333333333333333333333333333333333,8.03,25.7,27,3
54,2008,5,22.88709677419354838709677419354838709677,12.48709677419354838709677419354838709677,75.6,27,7
54,2008,6,27.53666666666666666666666666666666666667,15.84666666666666666666666666666666666667,36.3,35.6,11
54,2008,7,30.36774193548387096774193548387096774194,16.87096774193548387096774193548387096774,19.7,35.4,11.5
54,2008,8,30.26129032258064516129032258064516129032,16.65806451612903225806451612903225806452,7.6,35.7,11
54,2008,9,25.66666666666666666666666666666666666667,12.98,15.2,31.7,6
54,2008,10,21.10645161290322580645161290322580645161,10.49677419354838709677419354838709677419,20.2,28.6,2.5
54,2008,11,14.89,7.04333333333333333333333333333333333333,73.3,21.1,-2.8
54,2008,12,11.52258064516129032258064516129032258065,3.3,108.1,16,-2.5
54,2009,1,11.46451612903225806451612903225806451613,1.98387096774193548387096774193548387097,67.8,18,-3.5
54,2009,2,13.39642857142857142857142857142857142857,2.81428571428571428571428571428571428571,39.7,22.8,-4.2
54,2009,3,17.56774193548387096774193548387096774194,5.22258064516129032258064516129032258065,25.9,25,-0.5
54,2009,4,17.76,8.87,131.5,26.8,5.5
54,2009,5,23.96451612903225806451612903225806451613,13.67419354838709677419354838709677419355,11.8,30,7
54,2009,6,29.11666666666666666666666666666666666667,15.82333333333333333333333333333333333333,19.9,36.5,11
54,2009,7,30.96451612903225806451612903225806451613,18.08387096774193548387096774193548387097,4.3,36,13
54,2009,8,32.67096774193548387096774193548387096774,18.41935483870967741935483870967741935484,4.3,39,13
54,2009,9,28.02666666666666666666666666666666666667,13.90333333333333333333333333333333333333,30.1,31.5,9.6
54,2009,10,22.85483870967741935483870967741935483871,11.28064516129032258064516129032258064516,44,29.6,-1
54,2009,11,17.42666666666666666666666666666666666667,9.23,6,21.1,3.1
54,2009,12,12.39032258064516129032258064516129032258,3.73548387096774193548387096774193548387,13.2,20,-7.5
55,2000,1,10.84193548387096774193548387096774193548,3.30967741935483870967741935483870967742,25.6,18.3,-3
55,2000,2,14.89655172413793103448275862068965517241,5.64482758620689655172413793103448275862,13.2,21.8,-2.6
55,2000,3,17.09032258064516129032258064516129032258,6.12258064516129032258064516129032258065,33.4,25.5,-0.5
55,2000,4,18.05666666666666666666666666666666666667,7.97,92.6,24.7,1.8
55,2000,5,23.66451612903225806451612903225806451613,12.57741935483870967741935483870967741935,55.7,30.2,6.2
55,2000,6,26.52,15.05,82,33,10.6
55,2000,7,27.97741935483870967741935483870967741935,15.32258064516129032258064516129032258065,28.2,34,9.2
55,2000,8,30.04193548387096774193548387096774193548,17.39032258064516129032258064516129032258,24.3,36.3,11.8
55,2000,9,27.19666666666666666666666666666666666667,14.57,20.3,32,8.2
55,2000,10,21.01935483870967741935483870967741935484,11.47419354838709677419354838709677419355,70.7,28.5,6
55,2000,11,15.50333333333333333333333333333333333333,6.70666666666666666666666666666666666667,74.7,21.3,1
55,2000,12,13.90645161290322580645161290322580645161,7.23548387096774193548387096774193548387,41.7,18.3,1
55,2001,1,11.75806451612903225806451612903225806452,4.99677419354838709677419354838709677419,85,17.2,-1
55,2001,2,12.85,3.56428571428571428571428571428571428571,8,19,-2.8
55,2001,3,17.99354838709677419354838709677419354839,8.2483870967741935483870967741935483871,50.8,22.2,2
55,2001,4,17.12666666666666666666666666666666666667,7.60666666666666666666666666666666666667,57.9,22.7,3
55,2001,5,22.90967741935483870967741935483870967742,11.54516129032258064516129032258064516129,27.8,35.5,2.5
55,2001,6,27.48,14.51333333333333333333333333333333333333,45,33.8,9.4
55,2001,7,29,16.35806451612903225806451612903225806452,120.6,36.5,10
55,2001,8,29.84193548387096774193548387096774193548,17.41290322580645161290322580645161290323,2.3,37.3,11.3
55,2001,9,23.17,12.41333333333333333333333333333333333333,54.5,29.5,7.2
55,2001,10,22.50322580645161290322580645161290322581,13.18709677419354838709677419354838709677,28,28.5,7.5
55,2001,11,13.30333333333333333333333333333333333333,5.23,29.7,21.3,-1
55,2001,12,10.50967741935483870967741935483870967742,0.2290322580645161290322580645161290322581,7,17,-7.4
55,2002,1,12.73548387096774193548387096774193548387,2.87419354838709677419354838709677419355,13.1,20,-4.5
55,2002,2,14.32142857142857142857142857142857142857,4.875,33.3,21.6,1
55,2002,3,17.3516129032258064516129032258064516129,6.87741935483870967741935483870967741935,21,27.3,0
55,2002,4,18.66333333333333333333333333333333333333,8.52333333333333333333333333333333333333,89,28,3
55,2002,5,21.46129032258064516129032258064516129032,10.32258064516129032258064516129032258065,43.6,30,5
55,2002,6,27.79666666666666666666666666666666666667,14.86333333333333333333333333333333333333,35.2,37.5,9
55,2002,7,29.00645161290322580645161290322580645161,15.98387096774193548387096774193548387097,24.3,36,11.5
55,2002,8,28.19677419354838709677419354838709677419,16.00967741935483870967741935483870967742,57.7,36,12.5
55,2002,9,24.41333333333333333333333333333333333333,13.4,44,29,7
55,2002,10,20.92580645161290322580645161290322580645,11.02580645161290322580645161290322580645,163.7,25.2,3.6
55,2002,11,15.07333333333333333333333333333333333333,7.48333333333333333333333333333333333333,71.2,21.5,-1.5
55,2002,12,12.18709677419354838709677419354838709677,6.24193548387096774193548387096774193548,51.6,16,-1
55,2003,1,8.35483870967741935483870967741935483871,2.02580645161290322580645161290322580645,28.8,17.2,-6
55,2003,2,9.08214285714285714285714285714285714286,2.5,152.6,14,-4.5
55,2003,3,16.1,6.69677419354838709677419354838709677419,24,20.5,1.2
55,2003,4,18.11,8.35,59.3,26.3,3
55,2003,5,23.36774193548387096774193548387096774194,12.3,40.5,33,6.3
55,2003,6,31.31,18.68666666666666666666666666666666666667,20.5,41,14.5
55,2003,7,32.44193548387096774193548387096774193548,18.77096774193548387096774193548387096774,13,38.4,15
55,2003,8,34.95483870967741935483870967741935483871,19.69677419354838709677419354838709677419,29.3,41.8,16
55,2003,9,26.28,14.89,16.4,32,7
55,2003,10,18.86451612903225806451612903225806451613,9.66129032258064516129032258064516129032,41.7,29.5,-1.4
55,2003,11,16.39,7.58333333333333333333333333333333333333,81.7,22.5,-1
55,2003,12,11.63870967741935483870967741935483870968,6.29677419354838709677419354838709677419,212,18,1
55,2004,1,11.47419354838709677419354838709677419355,3.96129032258064516129032258064516129032,69.4,18,-3.7
55,2004,2,12.08620689655172413793103448275862068966,2.57241379310344827586206896551724137931,58.7,17.8,-2
55,2004,3,14.41612903225806451612903225806451612903,4.07741935483870967741935483870967741935,50.9,21.7,-3.8
55,2004,4,16.58666666666666666666666666666666666667,8.8,141,25,4
55,2004,5,21.86451612903225806451612903225806451613,9.8483870967741935483870967741935483871,36.4,31,2
55,2004,6,28.39666666666666666666666666666666666667,15.41,35,36.3,10
55,2004,7,29.30322580645161290322580645161290322581,17.18709677419354838709677419354838709677,6,36.5,13.2
55,2004,8,29.18709677419354838709677419354838709677,17.33548387096774193548387096774193548387,97.1,38.7,11.8
55,2004,9,25.24333333333333333333333333333333333333,15.01,52.8,31.5,7.8
55,2004,10,21.42903225806451612903225806451612903226,12.44193548387096774193548387096774193548,53.2,28,3.5
55,2004,11,13.58,4.97333333333333333333333333333333333333,5.7,18.8,-0.5
55,2004,12,11.00967741935483870967741935483870967742,4.50645161290322580645161290322580645161,66.7,17,-2.5
55,2005,1,10.89354838709677419354838709677419354839,2.21935483870967741935483870967741935484,14.6,15,-3.5
55,2005,2,8.85,0.8535714285714285714285714285714285714286,136.8,15.4,-5
55,2005,3,14.31935483870967741935483870967741935484,3.89032258064516129032258064516129032258,21,23,-8
55,2005,4,18.09,7.72333333333333333333333333333333333333,39.5,31,3.6
55,2005,5,23.27419354838709677419354838709677419355,11.77419354838709677419354838709677419355,35.7,29.3,7.6
55,2005,6,29.16333333333333333333333333333333333333,16.19666666666666666666666666666666666667,10.2,35,9.8
55,2005,7,30.16774193548387096774193548387096774194,17.86129032258064516129032258064516129032,0,36.5,14
55,2005,8,27.67419354838709677419354838709677419355,15.77741935483870967741935483870967741935,59.5,33,12.4
55,2005,9,24.74333333333333333333333333333333333333,14.08333333333333333333333333333333333333,276.3,33,7
55,2005,10,19.48064516129032258064516129032258064516,13.83225806451612903225806451612903225806,167.6,24,7
55,2005,11,13.83333333333333333333333333333333333333,5.30666666666666666666666666666666666667,164.8,20.6,-2.3
55,2005,12,9.03225806451612903225806451612903225806,-0.2193548387096774193548387096774193548387,23.1,16,-5
55,2006,1,9.07741935483870967741935483870967741935,2.58064516129032258064516129032258064516,171.6,14,-3
55,2006,2,11.525,1.88571428571428571428571428571428571429,11.3,18,-3.4
55,2006,3,15.07419354838709677419354838709677419355,5.76451612903225806451612903225806451613,69.8,24.3,-2.5
55,2006,4,19.38666666666666666666666666666666666667,8.62,21.1,24.3,3.5
55,2006,5,23.11935483870967741935483870967741935484,12.00967741935483870967741935483870967742,16.6,30.6,5.4
55,2006,6,28.32333333333333333333333333333333333333,15.53333333333333333333333333333333333333,35,34.5,7.8
55,2006,7,34.00967741935483870967741935483870967742,19.89354838709677419354838709677419354839,29.5,38,16.2
55,2006,8,27.19677419354838709677419354838709677419,16.15483870967741935483870967741935483871,49.7,32.5,12
55,2006,9,25.37,16.1,76.6,36,10.4
55,2006,10,22.12580645161290322580645161290322580645,13.87741935483870967741935483870967741935,37.2,28,6.5
55,2006,11,18.36333333333333333333333333333333333333,9.27666666666666666666666666666666666667,13.9,23.3,0.2
55,2006,12,11.53870967741935483870967741935483870968,2.63548387096774193548387096774193548387,15.5,20,-5.5
55,2007,1,13.52258064516129032258064516129032258065,4.12258064516129032258064516129032258065,12.4,20,-6.5
55,2007,2,14.41785714285714285714285714285714285714,5.57142857142857142857142857142857142857,97.1,21.4,-1.5
55,2007,3,15.34193548387096774193548387096774193548,5.63870967741935483870967741935483870968,19.3,22.4,-0.5
55,2007,4,22.16666666666666666666666666666666666667,9.95,64,30,4.2
55,2007,5,22.71935483870967741935483870967741935484,12.28709677419354838709677419354838709677,90.1,33,8.4
55,2007,6,26.62666666666666666666666666666666666667,15.04666666666666666666666666666666666667,18,31.4,10.7
55,2007,7,28.51935483870967741935483870967741935484,16.84516129032258064516129032258064516129,6.3,36,12.5
55,2007,8,28.23225806451612903225806451612903225806,16.00967741935483870967741935483870967742,15.9,35.5,12
55,2007,9,25.36666666666666666666666666666666666667,13.1,5.4,31.5,6.6
55,2007,10,19.82258064516129032258064516129032258065,10.96129032258064516129032258064516129032,40.4,24.8,1.8
55,2007,11,12.97,5.40333333333333333333333333333333333333,6.5,18.4,-5
55,2007,12,11.31612903225806451612903225806451612903,2.71612903225806451612903225806451612903,39.7,17.5,-5.3
55,2008,1,13.48064516129032258064516129032258064516,4.31935483870967741935483870967741935484,75.2,18,-3.5
55,2008,2,14.74827586206896551724137931034482758621,5.55517241379310344827586206896551724138,25.9,21,-1.4
55,2008,3,14.15483870967741935483870967741935483871,5.81290322580645161290322580645161290323,37.8,20.2,0.5
55,2008,4,18.23666666666666666666666666666666666667,7.79,31.8,25.8,2
55,2008,5,22.43870967741935483870967741935483870968,12.21935483870967741935483870967741935484,111.6,26.8,5.6
55,2008,6,26.04,14.99,37.9,33.7,10.9
55,2008,7,29.31290322580645161290322580645161290323,16.13548387096774193548387096774193548387,27.6,33.4,11.5
55,2008,8,29.86451612903225806451612903225806451613,16.39354838709677419354838709677419354839,6.7,36.8,12.2
55,2008,9,24.90333333333333333333333333333333333333,13.24,34.6,32,6
55,2008,10,20.68064516129032258064516129032258064516,10.34193548387096774193548387096774193548,13.2,28.2,1.5
55,2008,11,13.12333333333333333333333333333333333333,6.81,94.1,21.2,-2.5
55,2008,12,9.82258064516129032258064516129032258065,3.52903225806451612903225806451612903226,72.5,14.9,-2.6
55,2009,1,10.00322580645161290322580645161290322581,2.55483870967741935483870967741935483871,109.6,16.4,-4.5
55,2009,2,11.93928571428571428571428571428571428571,2.70714285714285714285714285714285714286,29.9,21.2,-4.5
55,2009,3,16.16129032258064516129032258064516129032,5.18387096774193548387096774193548387097,13.8,25.4,-0.5
55,2009,4,17.14,8.04333333333333333333333333333333333333,107.5,25.8,4
55,2009,5,23.55483870967741935483870967741935483871,13.01935483870967741935483870967741935484,21.8,31.3,5.6
55,2009,6,28.55,15.39333333333333333333333333333333333333,8.2,36,10.5
55,2009,7,30.41612903225806451612903225806451612903,17.41290322580645161290322580645161290323,7.8,36.6,12.5
55,2009,8,32.36129032258064516129032258064516129032,18.16774193548387096774193548387096774194,24,39.5,13.5
55,2009,9,28.26333333333333333333333333333333333333,13.97666666666666666666666666666666666667,15.5,32.5,10
55,2009,10,22.26774193548387096774193548387096774194,11.41935483870967741935483870967741935484,51.4,29,0
55,2009,11,16.58666666666666666666666666666666666667,9,24.4,22.2,3
55,2009,12,11.39032258064516129032258064516129032258,3.29354838709677419354838709677419354839,30.2,18.6,-4.8
56,2000,1,10.84193548387096774193548387096774193548,3.30967741935483870967741935483870967742,25.6,18.3,-3
56,2000,2,14.89655172413793103448275862068965517241,5.64482758620689655172413793103448275862,13.2,21.8,-2.6
56,2000,3,17.09032258064516129032258064516129032258,6.12258064516129032258064516129032258065,33.4,25.5,-0.5
56,2000,4,18.05666666666666666666666666666666666667,7.97,92.6,24.7,1.8
56,2000,5,23.66451612903225806451612903225806451613,12.57741935483870967741935483870967741935,55.7,30.2,6.2
56,2000,6,26.52,15.05,82,33,10.6
56,2000,7,27.97741935483870967741935483870967741935,15.32258064516129032258064516129032258065,28.2,34,9.2
56,2000,8,30.04193548387096774193548387096774193548,17.39032258064516129032258064516129032258,24.3,36.3,11.8
56,2000,9,27.19666666666666666666666666666666666667,14.57,20.3,32,8.2
56,2000,10,21.01935483870967741935483870967741935484,11.47419354838709677419354838709677419355,70.7,28.5,6
56,2000,11,15.50333333333333333333333333333333333333,6.70666666666666666666666666666666666667,74.7,21.3,1
56,2000,12,13.90645161290322580645161290322580645161,7.23548387096774193548387096774193548387,41.7,18.3,1
56,2001,1,11.75806451612903225806451612903225806452,4.99677419354838709677419354838709677419,85,17.2,-1
56,2001,2,12.85,3.56428571428571428571428571428571428571,8,19,-2.8
56,2001,3,17.99354838709677419354838709677419354839,8.2483870967741935483870967741935483871,50.8,22.2,2
56,2001,4,17.12666666666666666666666666666666666667,7.60666666666666666666666666666666666667,57.9,22.7,3
56,2001,5,22.90967741935483870967741935483870967742,11.54516129032258064516129032258064516129,27.8,35.5,2.5
56,2001,6,27.48,14.51333333333333333333333333333333333333,45,33.8,9.4
56,2001,7,29,16.35806451612903225806451612903225806452,120.6,36.5,10
56,2001,8,29.84193548387096774193548387096774193548,17.41290322580645161290322580645161290323,2.3,37.3,11.3
56,2001,9,23.17,12.41333333333333333333333333333333333333,54.5,29.5,7.2
56,2001,10,22.50322580645161290322580645161290322581,13.18709677419354838709677419354838709677,28,28.5,7.5
56,2001,11,13.30333333333333333333333333333333333333,5.23,29.7,21.3,-1
56,2001,12,10.50967741935483870967741935483870967742,0.2290322580645161290322580645161290322581,7,17,-7.4
56,2002,1,12.73548387096774193548387096774193548387,2.87419354838709677419354838709677419355,13.1,20,-4.5
56,2002,2,14.32142857142857142857142857142857142857,4.875,33.3,21.6,1
56,2002,3,17.3516129032258064516129032258064516129,6.87741935483870967741935483870967741935,21,27.3,0
56,2002,4,18.66333333333333333333333333333333333333,8.52333333333333333333333333333333333333,89,28,3
56,2002,5,21.46129032258064516129032258064516129032,10.32258064516129032258064516129032258065,43.6,30,5
56,2002,6,27.79666666666666666666666666666666666667,14.86333333333333333333333333333333333333,35.2,37.5,9
56,2002,7,29.00645161290322580645161290322580645161,15.98387096774193548387096774193548387097,24.3,36,11.5
56,2002,8,28.19677419354838709677419354838709677419,16.00967741935483870967741935483870967742,57.7,36,12.5
56,2002,9,24.41333333333333333333333333333333333333,13.4,44,29,7
56,2002,10,20.92580645161290322580645161290322580645,11.02580645161290322580645161290322580645,163.7,25.2,3.6
56,2002,11,15.07333333333333333333333333333333333333,7.48333333333333333333333333333333333333,71.2,21.5,-1.5
56,2002,12,12.18709677419354838709677419354838709677,6.24193548387096774193548387096774193548,51.6,16,-1
56,2003,1,8.35483870967741935483870967741935483871,2.02580645161290322580645161290322580645,28.8,17.2,-6
56,2003,2,9.08214285714285714285714285714285714286,2.5,152.6,14,-4.5
56,2003,3,16.1,6.69677419354838709677419354838709677419,24,20.5,1.2
56,2003,4,18.11,8.35,59.3,26.3,3
56,2003,5,23.36774193548387096774193548387096774194,12.3,40.5,33,6.3
56,2003,6,31.31,18.68666666666666666666666666666666666667,20.5,41,14.5
56,2003,7,32.44193548387096774193548387096774193548,18.77096774193548387096774193548387096774,13,38.4,15
56,2003,8,34.95483870967741935483870967741935483871,19.69677419354838709677419354838709677419,29.3,41.8,16
56,2003,9,26.28,14.89,16.4,32,7
56,2003,10,18.86451612903225806451612903225806451613,9.66129032258064516129032258064516129032,41.7,29.5,-1.4
56,2003,11,16.39,7.58333333333333333333333333333333333333,81.7,22.5,-1
56,2003,12,11.63870967741935483870967741935483870968,6.29677419354838709677419354838709677419,212,18,1
56,2004,1,11.47419354838709677419354838709677419355,3.96129032258064516129032258064516129032,69.4,18,-3.7
56,2004,2,12.08620689655172413793103448275862068966,2.57241379310344827586206896551724137931,58.7,17.8,-2
56,2004,3,14.41612903225806451612903225806451612903,4.07741935483870967741935483870967741935,50.9,21.7,-3.8
56,2004,4,16.58666666666666666666666666666666666667,8.8,141,25,4
56,2004,5,21.86451612903225806451612903225806451613,9.8483870967741935483870967741935483871,36.4,31,2
56,2004,6,28.39666666666666666666666666666666666667,15.41,35,36.3,10
56,2004,7,29.30322580645161290322580645161290322581,17.18709677419354838709677419354838709677,6,36.5,13.2
